[2026-03-14T21:28:28.104+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-14T21:28:28.220+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: docflow_pipeline.validate_bronze manual__2026-03-14T21:25:49.894754+00:00 [queued]>
[2026-03-14T21:28:28.247+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: docflow_pipeline.validate_bronze manual__2026-03-14T21:25:49.894754+00:00 [queued]>
[2026-03-14T21:28:28.247+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-03-14T21:28:28.333+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): validate_bronze> on 2026-03-14 21:25:49.894754+00:00
[2026-03-14T21:28:28.357+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'docflow_pipeline', 'validate_bronze', 'manual__2026-03-14T21:25:49.894754+00:00', '--job-id', '61', '--raw', '--subdir', 'DAGS_FOLDER/docflow_dag.py', '--cfg-path', '/tmp/tmpjryvk_jo']
[2026-03-14T21:28:28.367+0000] {standard_task_runner.py:91} INFO - Job 61: Subtask validate_bronze
[2026-03-14T21:28:28.373+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=296) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-14T21:28:28.375+0000] {standard_task_runner.py:63} INFO - Started process 297 to run task
[2026-03-14T21:28:28.558+0000] {task_command.py:426} INFO - Running <TaskInstance: docflow_pipeline.validate_bronze manual__2026-03-14T21:25:49.894754+00:00 [running]> on host 14211cbfbbcc
[2026-03-14T21:28:28.877+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='docflow_pipeline' AIRFLOW_CTX_TASK_ID='validate_bronze' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T21:25:49.894754+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-14T21:25:49.894754+00:00'
[2026-03-14T21:28:28.880+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-14T21:28:38.108+0000] {_docs_decorators.py:115} INFO - Skipping registering function get_context because it does not have a class
[2026-03-14T21:29:13.259+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.273+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.274+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_or_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.274+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_delete_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.284+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.284+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.285+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_or_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.285+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_delete_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.295+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.296+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.297+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_or_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.297+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_delete_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.308+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.309+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.309+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_or_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.310+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_delete_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.322+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:29:13.323+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
