[2026-03-14T21:58:23.956+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-14T21:58:24.125+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: docflow_pipeline.validate_bronze manual__2026-03-14T21:54:23.176650+00:00 [queued]>
[2026-03-14T21:58:24.165+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: docflow_pipeline.validate_bronze manual__2026-03-14T21:54:23.176650+00:00 [queued]>
[2026-03-14T21:58:24.166+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-03-14T21:58:24.234+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): validate_bronze> on 2026-03-14 21:54:23.176650+00:00
[2026-03-14T21:58:24.298+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'docflow_pipeline', 'validate_bronze', 'manual__2026-03-14T21:54:23.176650+00:00', '--job-id', '71', '--raw', '--subdir', 'DAGS_FOLDER/docflow_dag.py', '--cfg-path', '/tmp/tmpqgwdq6ft']
[2026-03-14T21:58:24.314+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=263) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-14T21:58:24.317+0000] {standard_task_runner.py:63} INFO - Started process 264 to run task
[2026-03-14T21:58:24.318+0000] {standard_task_runner.py:91} INFO - Job 71: Subtask validate_bronze
[2026-03-14T21:58:24.568+0000] {task_command.py:426} INFO - Running <TaskInstance: docflow_pipeline.validate_bronze manual__2026-03-14T21:54:23.176650+00:00 [running]> on host 2a1c64a84883
[2026-03-14T21:58:24.903+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='docflow_pipeline' AIRFLOW_CTX_TASK_ID='validate_bronze' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T21:54:23.176650+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-14T21:54:23.176650+00:00'
[2026-03-14T21:58:24.906+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-14T21:58:30.215+0000] {_docs_decorators.py:115} INFO - Skipping registering function get_context because it does not have a class
[2026-03-14T21:58:43.490+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/sqlalchemy_redshift/commands.py:31: SyntaxWarning: invalid escape sequence '\-'
  IAM_ROLE_NAME_RE = re.compile('[A-Za-z0-9+=,.@\-_]{1,64}')  # noqa

[2026-03-14T21:58:43.492+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/sqlalchemy_redshift/commands.py:33: SyntaxWarning: invalid escape sequence '\-'
  '[0-9]{12}:role/[A-Za-z0-9+=,.@\-_]{1,64}')  # noqa

[2026-03-14T21:58:51.435+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:58:51.436+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
[2026-03-14T21:58:51.437+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_or_update_datasource.<locals>.crud_method_info because it is a closure
